INFO Training log for Curie-Weiss model
INFO 2025-09-30 22:55:43: Initializing.
INFO gpu_idx:2
INFO seed:42
INFO n_dim:1
INFO L:64
INFO patch_L:32
INFO h:0.1
INFO T:1.1
INFO train_bs:1024
INFO val_bs:1024
INFO num_epoch:100
INFO patience:5
INFO lr:0.01
INFO mode:constant_diagonal
INFO epsilon:0.0001
INFO coeff:None
INFO method:naive
INFO 2025-09-30 22:55:43: Training started.
INFO 2025-09-30 22:55:46: Training epoch 1, training mse:-3.5806365583415087, val mse:0.9683646410703659, lr:0.01
INFO 2025-09-30 22:55:48: Training epoch 2, training mse:-5.908975265464004, val mse:-6.175022125244141, lr:0.01
INFO 2025-09-30 22:55:50: Training epoch 3, training mse:-5.900695584258255, val mse:-6.202549457550049, lr:0.01
INFO 2025-09-30 22:55:52: Training epoch 4, training mse:-5.905460761517895, val mse:-6.2277512550354, lr:0.01
INFO 2025-09-30 22:55:54: Training epoch 5, training mse:-5.903921553066799, val mse:-6.186671853065491, lr:0.01
INFO 2025-09-30 22:55:55: Training epoch 6, training mse:-5.906604448143317, val mse:-6.165466785430908, lr:0.01
INFO 2025-09-30 22:55:57: Training epoch 7, training mse:-5.894390938233356, val mse:-6.13787567615509, lr:0.01
INFO 2025-09-30 22:55:59: Training epoch 8, training mse:-5.89881305062041, val mse:-6.259137988090515, lr:0.01
INFO 2025-09-30 22:56:01: Training epoch 9, training mse:-5.917039185154195, val mse:-6.255303978919983, lr:0.005
INFO 2025-09-30 22:56:03: Training epoch 10, training mse:-5.918931498819468, val mse:-6.221981883049011, lr:0.005
INFO 2025-09-30 22:56:05: Training epoch 11, training mse:-5.9155261078659365, val mse:-6.2226773500442505, lr:0.005
INFO 2025-09-30 22:56:07: Training epoch 12, training mse:-5.914743058535517, val mse:-6.247569680213928, lr:0.005
INFO 2025-09-30 22:56:09: Training epoch 13, training mse:-5.9181976318359375, val mse:-6.182277679443359, lr:0.005
INFO 2025-09-30 22:56:11: Training epoch 14, training mse:-5.9173649062915725, val mse:-6.2250648736953735, lr:0.005
INFO 2025-09-30 22:56:13: Training epoch 15, training mse:-5.918324833013574, val mse:-6.193441152572632, lr:0.005
INFO 2025-09-30 22:56:15: Training epoch 16, training mse:-5.917554728838862, val mse:-6.228078722953796, lr:0.005
INFO 2025-09-30 22:56:17: Training epoch 17, training mse:-5.920982258660453, val mse:-6.2474164962768555, lr:0.0025
INFO 2025-09-30 22:56:19: Training epoch 18, training mse:-5.921362521697064, val mse:-6.231576323509216, lr:0.0025
INFO 2025-09-30 22:56:21: Training epoch 19, training mse:-5.921032397114501, val mse:-6.207545518875122, lr:0.0025
INFO 2025-09-30 22:56:23: Training epoch 20, training mse:-5.9207001024362995, val mse:-6.221639275550842, lr:0.0025
INFO 2025-09-30 22:56:25: Training epoch 21, training mse:-5.921625390344737, val mse:-6.230705618858337, lr:0.0025
INFO 2025-09-30 22:56:27: Training epoch 22, training mse:-5.920523784598526, val mse:-6.229736685752869, lr:0.0025
INFO 2025-09-30 22:56:29: Training epoch 23, training mse:-5.920539680792361, val mse:-6.229534983634949, lr:0.0025
INFO 2025-09-30 22:56:31: Training epoch 24, training mse:-5.922461436719311, val mse:-6.1788811683654785, lr:0.0025
INFO 2025-09-30 22:56:33: Training epoch 25, training mse:-5.921275085332442, val mse:-6.221086025238037, lr:0.0025
INFO 2025-09-30 22:56:35: Training epoch 26, training mse:-5.9207152274190165, val mse:-6.2367295026779175, lr:0.0025
INFO 2025-09-30 22:56:37: Training epoch 27, training mse:-5.921296423795272, val mse:-6.21081018447876, lr:0.0025
INFO 2025-09-30 22:56:39: Training epoch 28, training mse:-5.920706191841437, val mse:-6.223015189170837, lr:0.0025
INFO 2025-09-30 22:56:41: Training epoch 29, training mse:-5.922168580853209, val mse:-6.219369411468506, lr:0.0025
INFO 2025-09-30 22:56:43: Training epoch 30, training mse:-5.920525120229137, val mse:-6.2208662033081055, lr:0.0025
INFO 2025-09-30 22:56:45: Training epoch 31, training mse:-5.919995670415918, val mse:-6.226660847663879, lr:0.0025
INFO 2025-09-30 22:56:46: Training epoch 32, training mse:-5.919761582296722, val mse:-6.195775866508484, lr:0.0025
INFO 2025-09-30 22:56:48: Training epoch 33, training mse:-5.920446536978897, val mse:-6.225321173667908, lr:0.0025
