INFO Training log for Curie-Weiss model
INFO 2025-10-01 08:26:46: Initializing.
INFO gpu_idx:2
INFO seed:42
INFO n_dim:1
INFO L:64
INFO patch_L:8
INFO h:0.1
INFO T:1.1
INFO train_bs:1024
INFO val_bs:1024
INFO num_epoch:100
INFO patience:5
INFO lr:0.01
INFO mode:constant_diagonal
INFO epsilon:0.0001
INFO coeff:None
INFO method:ours
INFO 2025-10-01 08:26:47: Training started.
INFO 2025-10-01 08:26:50: Training epoch 1, training mse:1.0917685276125462, val mse:0.9683646410703659, lr:0.01
INFO 2025-10-01 08:26:52: Training epoch 2, training mse:-2.637774683991257, val mse:-5.016536831855774, lr:0.01
INFO 2025-10-01 08:26:55: Training epoch 3, training mse:-2.6525570385310115, val mse:-5.556629657745361, lr:0.01
INFO 2025-10-01 08:26:57: Training epoch 4, training mse:-2.6521184833682314, val mse:-6.01692533493042, lr:0.01
INFO 2025-10-01 08:27:00: Training epoch 5, training mse:-2.652821658825388, val mse:-5.517934083938599, lr:0.01
INFO 2025-10-01 08:27:02: Training epoch 6, training mse:-2.6517637822092794, val mse:-6.043701767921448, lr:0.01
INFO 2025-10-01 08:27:04: Training epoch 7, training mse:-2.6531311735814933, val mse:-5.900347113609314, lr:0.01
INFO 2025-10-01 08:27:06: Training epoch 8, training mse:-2.6524633886862774, val mse:-6.0891581773757935, lr:0.01
INFO 2025-10-01 08:27:09: Training epoch 9, training mse:-2.6533364252168306, val mse:-5.685467481613159, lr:0.01
INFO 2025-10-01 08:27:12: Training epoch 10, training mse:-2.6529203556021868, val mse:-5.8520667552948, lr:0.01
INFO 2025-10-01 08:27:15: Training epoch 11, training mse:-2.654547704725849, val mse:-6.007930159568787, lr:0.01
INFO 2025-10-01 08:27:18: Training epoch 12, training mse:-2.6537934444388567, val mse:-5.979413270950317, lr:0.01
INFO 2025-10-01 08:27:20: Training epoch 13, training mse:-2.653559227379001, val mse:-5.163238525390625, lr:0.01
INFO 2025-10-01 08:27:23: Training epoch 14, training mse:-2.6529990288676046, val mse:-6.150007486343384, lr:0.01
INFO 2025-10-01 08:27:26: Training epoch 15, training mse:-2.652147061970769, val mse:-6.035083651542664, lr:0.01
INFO 2025-10-01 08:27:29: Training epoch 16, training mse:-2.6539662833116493, val mse:-6.054590106010437, lr:0.01
INFO 2025-10-01 08:27:31: Training epoch 17, training mse:-2.6525598083223616, val mse:-5.562169432640076, lr:0.01
INFO 2025-10-01 08:27:34: Training epoch 18, training mse:-2.654603290314577, val mse:-5.992415070533752, lr:0.005
INFO 2025-10-01 08:27:37: Training epoch 19, training mse:-2.6551186722152087, val mse:-6.004943609237671, lr:0.005
INFO 2025-10-01 08:27:40: Training epoch 20, training mse:-2.6552828015113366, val mse:-6.088592171669006, lr:0.005
INFO 2025-10-01 08:27:43: Training epoch 21, training mse:-2.6552362004104926, val mse:-6.102041482925415, lr:0.005
INFO 2025-10-01 08:27:46: Training epoch 22, training mse:-2.6552170028491897, val mse:-6.015324592590332, lr:0.005
INFO 2025-10-01 08:27:49: Training epoch 23, training mse:-2.655361926069065, val mse:-6.113124370574951, lr:0.005
INFO 2025-10-01 08:27:51: Training epoch 24, training mse:-2.6539542577704607, val mse:-5.691349506378174, lr:0.005
INFO 2025-10-01 08:27:54: Training epoch 25, training mse:-2.6548837496309865, val mse:-6.053222417831421, lr:0.005
INFO 2025-10-01 08:27:57: Training epoch 26, training mse:-2.6551037345613753, val mse:-6.0657535791397095, lr:0.005
INFO 2025-10-01 08:28:01: Training epoch 27, training mse:-2.6554409508802452, val mse:-5.9416316747665405, lr:0.005
INFO 2025-10-01 08:28:03: Training epoch 28, training mse:-2.655044002192361, val mse:-5.842024803161621, lr:0.005
INFO 2025-10-01 08:28:06: Training epoch 29, training mse:-2.6544762655180327, val mse:-5.720762372016907, lr:0.005
INFO 2025-10-01 08:28:09: Training epoch 30, training mse:-2.654396063211013, val mse:-6.02901554107666, lr:0.005
INFO 2025-10-01 08:28:12: Training epoch 31, training mse:-2.6548246984579125, val mse:-6.084701895713806, lr:0.005
INFO 2025-10-01 08:28:15: Training epoch 32, training mse:-2.6555264288065383, val mse:-6.064877271652222, lr:0.005
INFO 2025-10-01 08:28:18: Training epoch 33, training mse:-2.655262544447062, val mse:-6.009540796279907, lr:0.005
INFO 2025-10-01 08:28:21: Training epoch 34, training mse:-2.6544636305497615, val mse:-5.546896696090698, lr:0.005
INFO 2025-10-01 08:28:24: Training epoch 35, training mse:-2.655010464240094, val mse:-6.043108701705933, lr:0.005
INFO 2025-10-01 08:28:26: Training epoch 36, training mse:-2.6546082180373523, val mse:-6.003949999809265, lr:0.005
INFO 2025-10-01 08:28:29: Training epoch 37, training mse:-2.6552712564565697, val mse:-6.004163980484009, lr:0.005
INFO 2025-10-01 08:28:31: Training epoch 38, training mse:-2.654870693780938, val mse:-5.876686930656433, lr:0.005
INFO 2025-10-01 08:28:34: Training epoch 39, training mse:-2.6552108295109806, val mse:-6.157229781150818, lr:0.005
INFO 2025-10-01 08:28:36: Training epoch 40, training mse:-2.6550286266268515, val mse:-5.923031449317932, lr:0.005
INFO 2025-10-01 08:28:39: Training epoch 41, training mse:-2.655071051753297, val mse:-6.004285216331482, lr:0.005
INFO 2025-10-01 08:28:42: Training epoch 42, training mse:-2.6550371184641, val mse:-5.913584589958191, lr:0.005
INFO 2025-10-01 08:28:45: Training epoch 43, training mse:-2.655209515775953, val mse:-6.046670436859131, lr:0.005
INFO 2025-10-01 08:28:47: Training epoch 44, training mse:-2.654961794006581, val mse:-6.014837145805359, lr:0.005
INFO 2025-10-01 08:28:50: Training epoch 45, training mse:-2.6552331739542434, val mse:-5.971405506134033, lr:0.005
INFO 2025-10-01 08:28:53: Training epoch 46, training mse:-2.6545814105442593, val mse:-5.936359882354736, lr:0.005
INFO 2025-10-01 08:28:56: Training epoch 47, training mse:-2.654732418303587, val mse:-5.892232775688171, lr:0.005
INFO 2025-10-01 08:28:59: Training epoch 48, training mse:-2.6552668919368667, val mse:-5.9110167026519775, lr:0.005
INFO 2025-10-01 08:29:01: Training epoch 49, training mse:-2.655011392369562, val mse:-6.088496804237366, lr:0.005
INFO 2025-10-01 08:29:04: Training epoch 50, training mse:-2.6543795952991562, val mse:-6.016200661659241, lr:0.005
INFO 2025-10-01 08:29:07: Training epoch 51, training mse:-2.654098086211146, val mse:-6.080347895622253, lr:0.005
INFO 2025-10-01 08:29:11: Training epoch 52, training mse:-2.6553144442791843, val mse:-5.93617844581604, lr:0.005
INFO 2025-10-01 08:29:13: Training epoch 53, training mse:-2.6547362974711826, val mse:-6.072661399841309, lr:0.005
INFO 2025-10-01 08:29:16: Training epoch 54, training mse:-2.6554848101674295, val mse:-5.838547945022583, lr:0.005
INFO 2025-10-01 08:29:19: Training epoch 55, training mse:-2.655449682352494, val mse:-5.896534562110901, lr:0.005
INFO 2025-10-01 08:29:22: Training epoch 56, training mse:-2.655345067685964, val mse:-6.064332842826843, lr:0.005
INFO 2025-10-01 08:29:25: Training epoch 57, training mse:-2.6553353387482312, val mse:-6.095604181289673, lr:0.005
INFO 2025-10-01 08:29:28: Training epoch 58, training mse:-2.6548706548554555, val mse:-6.040478706359863, lr:0.005
INFO 2025-10-01 08:29:30: Training epoch 59, training mse:-2.654659915943535, val mse:-5.960239887237549, lr:0.005
INFO 2025-10-01 08:29:33: Training epoch 60, training mse:-2.655184774982686, val mse:-5.870541095733643, lr:0.005
INFO 2025-10-01 08:29:35: Training epoch 61, training mse:-2.6550800374576022, val mse:-5.96539306640625, lr:0.005
INFO 2025-10-01 08:29:38: Training epoch 62, training mse:-2.655652724966711, val mse:-6.117808938026428, lr:0.005
INFO 2025-10-01 08:29:40: Training epoch 63, training mse:-2.654694464741921, val mse:-5.895752787590027, lr:0.005
INFO 2025-10-01 08:29:43: Training epoch 64, training mse:-2.6555083126437906, val mse:-5.84220290184021, lr:0.005
INFO 2025-10-01 08:29:45: Training epoch 65, training mse:-2.654820050512041, val mse:-5.94312047958374, lr:0.005
INFO 2025-10-01 08:29:48: Training epoch 66, training mse:-2.654647937842778, val mse:-5.973922252655029, lr:0.005
INFO 2025-10-01 08:29:50: Training epoch 67, training mse:-2.655615195936086, val mse:-5.8404237031936646, lr:0.005
INFO 2025-10-01 08:29:53: Training epoch 68, training mse:-2.65510832168618, val mse:-6.035178065299988, lr:0.005
INFO 2025-10-01 08:29:56: Training epoch 69, training mse:-2.6555840312218177, val mse:-5.981721758842468, lr:0.005
INFO 2025-10-01 08:29:59: Training epoch 70, training mse:-2.655649332367644, val mse:-5.965101838111877, lr:0.005
INFO 2025-10-01 08:30:01: Training epoch 71, training mse:-2.6549125715177886, val mse:-5.76110315322876, lr:0.005
INFO 2025-10-01 08:30:04: Training epoch 72, training mse:-2.6551460307471606, val mse:-5.849785804748535, lr:0.005
INFO 2025-10-01 08:30:07: Training epoch 73, training mse:-2.655475362223022, val mse:-5.967895269393921, lr:0.005
INFO 2025-10-01 08:30:10: Training epoch 74, training mse:-2.6551422415947425, val mse:-5.892967224121094, lr:0.005
INFO 2025-10-01 08:30:12: Training epoch 75, training mse:-2.655359193986776, val mse:-6.0096787214279175, lr:0.005
INFO 2025-10-01 08:30:15: Training epoch 76, training mse:-2.6550374018902683, val mse:-6.074807047843933, lr:0.005
INFO 2025-10-01 08:30:18: Training epoch 77, training mse:-2.654564902490499, val mse:-5.967502474784851, lr:0.005
INFO 2025-10-01 08:30:21: Training epoch 78, training mse:-2.6551696025595373, val mse:-5.96675717830658, lr:0.005
INFO 2025-10-01 08:30:24: Training epoch 79, training mse:-2.655002311784394, val mse:-6.1060450077056885, lr:0.005
INFO 2025-10-01 08:30:26: Training epoch 80, training mse:-2.6554553533086973, val mse:-5.930027365684509, lr:0.005
INFO 2025-10-01 08:30:29: Training epoch 81, training mse:-2.655408297266279, val mse:-5.915420651435852, lr:0.005
INFO 2025-10-01 08:30:32: Training epoch 82, training mse:-2.65549042395183, val mse:-6.112460374832153, lr:0.005
INFO 2025-10-01 08:30:34: Training epoch 83, training mse:-2.655587294880225, val mse:-6.004598617553711, lr:0.005
INFO 2025-10-01 08:30:38: Training epoch 84, training mse:-2.6546289701851045, val mse:-6.1099406480789185, lr:0.005
INFO 2025-10-01 08:30:40: Training epoch 85, training mse:-2.6541872815209993, val mse:-5.674720287322998, lr:0.005
INFO 2025-10-01 08:30:43: Training epoch 86, training mse:-2.6543473248579064, val mse:-5.893220543861389, lr:0.005
INFO 2025-10-01 08:30:46: Training epoch 87, training mse:-2.655653788118946, val mse:-6.006198287010193, lr:0.005
